goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,year
7,1,0,40,45.98,4,36.36,15,55.56,5,3,85.01,44,44.9,690,22,10,24,7,0,0,0,8,0,0,0,0,0,150,7,295,21,5,25.0,13,68.42,0,0,2,3,32,18,3,21.88,0,3,6.62,0,0,0,Lionel Messi,Argentina,2022
1,0,0,23,58.97,0,0.0,13,61.9,3,1,87.68,23,57.5,290,7,0,6,5,0,0,0,2,0,0,0,0,0,66,0,121,10,6,22.22,4,66.67,1,0,2,0,6,3,2,16.67,0,5,0.64,0,0,0,Ángel Di María,Argentina,2022
1,1,0,31,55.36,9,75.0,3,60.0,22,1,87.61,40,58.82,563,6,7,7,7,0,0,0,6,0,0,0,0,0,89,1,410,6,1,50.0,16,51.61,3,7,10,0,8,3,2,12.5,1,0,0.32,0,0,0,Enzo Fernández,Argentina,2022
4,0,0,29,50.0,5,41.67,8,72.73,10,2,74.68,34,48.57,581,11,6,8,7,0,0,0,4,1,0,0,0,0,60,0,174,10,5,23.81,10,58.82,1,3,12,1,22,11,3,18.18,1,2,,0,0,0,Antoine Griezmann,France,2018
4,2,0,52,59.09,2,28.57,32,60.38,6,0,77.48,54,56.84,541,14,1,14,7,0,0,0,4,1,0,0,0,0,57,3,117,9,3,27.27,2,40.0,2,1,1,1,8,7,0,50.0,0,1,,0,0,0,Kylian Mbappé,France,2018
1,1,0,39,51.32,20,64.52,8,80.0,14,0,80.52,59,55.14,552,17,14,12,6,0,0,0,5,1,0,0,0,0,81,1,248,9,0,0.0,36,67.92,6,12,9,0,7,2,1,14.29,1,0,,0,0,0,Paul Pogba,France,2018
2,0,0,32,55.17,1,12.5,5,55.56,15,3,89.92,33,50.0,689,12,8,10,7,0,0,0,4,0,0,0,0,0,168,0,544,15,10,23.26,67,83.75,4,3,7,0,16,5,6,12.5,0,0,,0,1,1,Toni Kroos,Germany,2014
5,0,0,34,52.31,14,42.42,12,80.0,7,3,75.38,48,48.98,682,17,14,12,7,0,0,0,4,0,0,0,0,0,91,0,196,17,4,21.05,4,40.0,2,1,6,0,16,8,2,31.25,0,8,,0,0,0,Thomas Müller,Germany,2014
3,0,0,11,35.48,2,40.0,1,11.11,8,1,83.33,13,36.11,244,2,7,3,6,0,0,0,2,0,0,0,0,0,34,0,100,3,1,11.11,4,100.0,4,3,2,0,15,9,4,20.0,0,2,,0,0,0,Andre Schürrle,Germany,2014
0,1,0,34,57.63,0,0.0,9,75.0,10,1,91.17,34,57.63,635,15,2,14,7,0,0,0,1,1,0,0,0,0,202,0,599,30,15,34.09,56,82.35,9,1,6,0,7,0,1,0.0,0,1,,0,0,0,Xavi,Spain,2010
5,0,0,27,37.5,6,100.0,10,32.26,2,1,71.2,33,42.31,634,15,2,19,7,0,0,0,1,1,0,0,0,0,64,0,131,13,2,16.67,12,75.0,5,0,3,0,31,13,6,16.13,1,6,,0,0,0,David Villa,Spain,2010
0,1,0,37,57.81,5,71.43,3,50.0,23,0,86.92,42,59.15,593,11,11,5,7,0,0,0,1,1,0,0,0,0,140,0,452,10,2,25.0,62,75.61,16,11,8,0,15,1,5,0.0,1,0,,0,0,0,Xabi Alonso,Spain,2010
1,0,0,43,64.18,0,0.0,4,66.67,24,3,85.66,43,64.18,668,15,6,10,7,0,0,0,2,0,0,0,0,0,114,0,484,24,9,27.27,60,75.0,11,2,6,0,7,4,0,14.29,0,1,,0,0,0,Andrea Pirlo,Italy,2006
1,0,0,2,66.67,0,0.0,2,100.0,0,0,50.0,2,66.67,29,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0.0,0,0.0,1,1,0,0,3,1,0,33.33,0,1,,0,0,0,Filippo Inzaghi,Italy,2006
0,2,0,61,60.4,3,60.0,3,60.0,40,0,90.0,64,60.38,552,18,15,13,6,0,0,0,1,0,0,0,0,0,60,0,342,3,0,0.0,18,75.0,18,2,10,0,4,0,1,0.0,0,0,,0,0,0,Gennaro Gattuso,Italy,2006
8,0,0,29,44.62,2,40.0,11,39.29,4,0,70.0,31,44.29,552,14,3,12,7,0,0,0,4,0,0,0,0,0,36,0,77,13,3,42.86,0,0.0,5,0,4,0,34,19,6,23.53,1,6,,0,0,0,Ronaldo Nazário,Brazil,2002
5,0,0,39,48.15,14,73.68,14,48.28,7,1,82.79,53,53.0,611,18,9,13,7,0,0,0,4,0,0,0,0,0,79,0,178,13,6,26.09,16,84.21,7,6,5,0,27,11,5,18.52,1,2,,0,0,0,Rivaldo,Brazil,2002
1,0,0,38,65.52,2,100.0,9,64.29,17,1,80.17,40,66.67,540,12,4,5,6,0,0,0,4,0,0,0,0,0,42,0,186,2,1,33.33,32,57.14,10,21,6,0,1,1,0,100.0,0,0,,0,0,0,Edmílson,Brazil,2002
2,1,1,27,44.26,4,80.0,10,43.48,7,1,80.36,31,46.97,460,10,9,8,5,0,0,0,1,0,0,0,0,0,91,0,225,18,7,26.92,23,76.67,5,2,4,0,22,6,6,9.09,0,1,,0,0,0,Zinedine Zidane,France,1998
2,1,0,32,62.75,9,56.25,4,100.0,23,1,75.31,41,61.19,509,5,10,4,6,0,0,0,2,0,0,0,0,0,34,0,183,8,6,26.09,14,58.33,17,13,5,0,11,5,3,18.18,0,0,,0,0,0,Emmanuel Petit,France,1998
0,3,0,57,57.58,6,50.0,5,41.67,35,0,82.78,63,56.76,594,17,14,8,6,0,0,0,1,0,0,0,0,0,93,0,346,17,3,33.33,28,70.0,23,10,13,0,8,0,6,0.0,0,0,,0,0,0,Didier Deschamps,France,1998
0,1,0,70,54.69,3,33.33,4,57.14,57,1,85.12,73,53.28,656,9,11,17,7,0,0,0,3,0,0,0,0,0,143,0,589,10,5,55.56,57,77.03,34,7,27,0,16,4,5,0.0,0,0,,0,0,0,Dunga,Brazil,1994
3,0,0,26,49.06,1,33.33,11,68.75,5,2,83.2,27,48.21,660,10,6,9,7,0,0,0,3,0,0,0,0,0,95,0,203,18,6,17.65,8,80.0,2,0,7,0,24,11,4,12.5,2,9,,0,0,0,Bebeto,Brazil,1994
5,0,0,37,36.27,2,25.0,24,53.33,2,1,80.1,39,35.45,660,11,7,35,7,0,0,0,3,0,0,0,0,0,56,0,157,8,2,40.0,2,100.0,2,0,4,0,38,21,5,13.16,1,15,,0,0,0,Romário,Brazil,1994
4,1,0,63,69.23,3,75.0,12,57.14,32,0,86.79,66,69.47,660,19,10,6,7,0,0,0,5,0,0,0,0,0,136,0,381,22,9,50.0,64,82.05,14,7,3,0,23,8,6,17.39,1,4,,0,0,0,Lothar Matthäus,West Germany,1990
1,0,0,33,62.26,1,50.0,14,63.64,7,2,85.62,34,61.82,375,12,3,5,6,0,0,0,3,0,0,0,0,0,50,0,131,17,13,48.15,10,76.92,10,2,5,0,15,9,2,6.67,0,2,,0,0,0,Pierre Littbarski,West Germany,1990
3,1,0,34,50.75,4,23.53,13,54.17,3,1,72.0,38,45.24,632,18,10,11,7,0,0,0,4,0,0,0,0,0,27,0,72,8,3,20.0,5,83.33,3,1,1,0,23,9,2,13.04,2,6,,0,0,0,Jürgen Klinsmann,West Germany,1990
