goals,assists,totalDuelsWon,totalDuelsWonPercentage,accuratePasses,accuratePassesPercentage,keyPasses,successfulDribbles,successfulDribblesPercentage,wasFouled,tackles,interceptions,clearances,bigChancesCreated,passToAssist,accurateFinalThirdPasses,yellowCards,redCards,fouls,totalShots,shotsOnTarget,bigChancesMissed,goalConversionPercentage,hitWoodwork,offsides,minutesPlayed,player,team,year
7,3,44,44.9,295,85.01,21,15,55.56,22,5,0,0,7,0,150,1,0,10,32,18,3,21.88,0,3,690,Lionel Messi,Argentina,2022
1,1,40,58.82,410,87.61,6,3,60.0,6,22,3,7,1,0,89,1,0,7,8,3,0,12.5,1,0,563,Enzo Fernández,Argentina,2022
4,2,34,48.57,174,74.68,10,8,72.73,11,10,1,3,0,0,60,0,0,6,22,11,1,18.18,1,2,581,Antoine Griezmann,France,2018
4,0,54,56.84,117,77.48,9,32,60.38,14,6,2,1,3,0,57,2,0,1,8,7,1,50.0,0,1,541,Kylian Mbappé,France,2018
1,0,59,55.14,248,80.52,9,8,80.0,17,14,6,12,1,0,81,1,0,14,7,2,0,14.29,1,0,552,Paul Pogba,France,2018
2,3,33,50.0,544,89.92,15,5,55.56,12,15,4,3,0,1,168,0,0,8,16,5,0,12.5,0,0,689,Toni Kroos,Germany,2014
5,3,48,48.98,196,75.38,17,12,80.0,17,7,2,1,0,0,91,0,0,14,16,8,0,31.25,0,8,682,Thomas Müller,Germany,2014
0,1,34,57.63,599,91.17,30,9,75.0,15,10,9,1,0,0,202,1,0,2,7,0,0,0.0,0,1,635,Xavi,Spain,2010
5,1,33,42.31,131,71.2,13,10,32.26,15,2,5,0,0,0,64,0,0,2,31,13,0,16.13,1,6,634,David Villa,Spain,2010
0,0,42,59.15,452,86.92,10,3,50.0,11,23,16,11,0,0,140,1,0,11,15,1,0,0.0,1,0,593,Xabi Alonso,Spain,2010
1,3,43,64.18,484,85.66,24,4,66.67,15,24,11,2,0,0,114,0,0,6,7,4,0,14.29,0,1,668,Andrea Pirlo,Italy,2006
0,0,64,60.38,342,90.0,3,3,60.0,18,40,18,2,0,0,60,2,0,15,4,0,0,0.0,0,0,552,Gennaro Gattuso,Italy,2006
8,0,31,44.29,77,70.0,13,11,39.29,14,4,5,0,0,0,36,0,0,3,34,19,0,23.53,1,6,552,Ronaldo Nazário,Brazil,2002
5,1,53,53.0,178,82.79,13,14,48.28,18,7,7,6,0,0,79,0,0,9,27,11,0,18.52,1,2,611,Rivaldo,Brazil,2002
1,1,40,66.67,186,80.17,2,9,64.29,12,17,10,21,0,0,42,0,0,4,1,1,0,100.0,0,0,540,Edmílson,Brazil,2002
2,1,31,46.97,225,80.36,18,10,43.48,10,7,5,2,0,0,91,1,1,9,22,6,0,9.09,0,1,460,Zinedine Zidane,France,1998
2,1,41,61.19,183,75.31,8,4,100.0,5,23,17,13,0,0,34,1,0,10,11,5,0,18.18,0,0,509,Emmanuel Petit,France,1998
0,0,63,56.76,346,82.78,17,5,41.67,17,35,23,10,0,0,93,3,0,14,8,0,0,0.0,0,0,594,Didier Deschamps,France,1998
0,1,73,53.28,589,85.12,10,4,57.14,9,57,34,7,0,0,143,1,0,11,16,4,0,0.0,0,0,656,Dunga,Brazil,1994
3,2,27,48.21,203,83.2,18,11,68.75,10,5,2,0,0,0,95,0,0,6,24,11,0,12.5,2,9,660,Bebeto,Brazil,1994
5,1,39,35.45,157,80.1,8,24,53.33,11,2,2,0,0,0,56,0,0,7,38,21,0,13.16,1,15,660,Romário,Brazil,1994
4,0,66,69.47,381,86.79,22,12,57.14,19,32,14,7,0,0,136,1,0,10,23,8,0,17.39,1,4,660,Lothar Matthäus,West Germany,1990
1,2,34,61.82,131,85.62,17,14,63.64,12,7,10,2,0,0,50,0,0,3,15,9,0,6.67,0,2,375,Pierre Littbarski,West Germany,1990
3,1,38,45.24,72,72.0,8,13,54.17,18,3,3,1,0,0,27,1,0,10,23,9,0,13.04,2,6,632,Jürgen Klinsmann,West Germany,1990
5,5,122,62.56,209,79.77,27,53,58.89,53,13,6,0,0,0,96,1,0,10,30,13,0,16.67,1,11,630,Diego Armando Maradona,Argentina,1986
2,2,31,51.67,272,83.44,15,8,50.0,9,12,15,4,0,0,65,0,0,9,16,5,0,12.5,1,3,611,Jorge Luis Burruchaga,Argentina,1986
4,1,41,45.56,165,83.33,5,11,52.38,16,9,10,6,0,0,46,1,0,11,19,8,0,21.05,0,7,630,Jorge Valdano,Argentina,1986
6,1,33,43.42,127,82.47,14,9,45.0,20,3,2,0,0,0,41,1,0,7,14,7,0,42.86,0,3,576,Paolo Rossi,Italy,1982
2,1,45,61.64,247,83.73,6,13,72.22,14,16,16,10,0,0,63,1,0,7,16,7,0,12.5,1,1,616,Marco Tardelli,Italy,1982
1,3,47,46.53,187,76.95,15,13,46.43,16,18,8,3,0,0,68,1,0,15,14,6,0,7.14,0,2,630,Bruno Conti,Italy,1982
6,1,84,54.9,193,77.2,16,38,55.88,29,10,17,6,0,0,72,0,0,17,41,16,0,14.63,1,8,660,Mario Alberto Kempes,Argentina,1978
2,3,69,65.71,78,73.58,14,31,60.78,28,9,3,0,0,0,38,0,0,2,15,2,0,13.33,0,2,479,Daniel Bertoni,Argentina,1978
0,2,80,64.52,261,81.06,16,20,66.67,32,25,13,7,0,0,71,1,0,7,9,2,0,0.0,0,0,471,Osvaldo Ardiles,Argentina,1978
